Code,OSIPI name,Alternative names,Notation,Description,OSIPI units,Reference
 -- , -- , -- , -- , -- , -- , -- 
" Q.DM1.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""UnitStepParams""></a> Unit step model parameters  ", -- , *[T]* , Vector of ordered inputs to the unit step model (M.DM1.001)., [variable units] , -- 
" Q.DM1.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""LinQuandraticParams""></a> Linear-quadratic model parameters ", -- ," *[BAT, f<sub>BL</sub>, $\beta_{1}$, $\beta_{2}$]* ", Vector of ordered inputs to the linear quadratic model (M.DM1.002). , [variable units]  , -- 
" Q.DM1.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""2SLParams""></a> Two step linear model parameters ", -- ," *[BAT, f<sub>BL</sub>, b<sub>1</sub>]* ", Vector of ordered inputs to the two step linear model (M.DM1.003). , [variable units] , -- 
" Q.DM1.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""3SLPamars""></a> Three step linear model parameters ", -- ," *[BAT, f<sub>BL</sub>, $\beta$, b<sub>1</sub>, b<sub>2</sub>]* ", Vector of ordered inputs to the three step linear model (M.DM1.004). , [variable units] , -- 
" Q.DM1.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""MultiExpParams""></a> Multi-exponential model parameters ", -- ," *[A<sub>1</sub>, ...A<sub>n</sub>, a<sub>1</sub>, ...a<sub>n</sub>]* ", Vector of ordered inputs to the multi-exponential model (M.DM1.005). ,[variable units]  , -- 
" Q.DM1.006 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""GammaVarParams""></a> Gamma-variate model parameters ", -- ," *[BAT, $\alpha$, $\beta$]* ", Vector of ordered inputs to the gamma-variate model (M.DM1.006). , [variable units] , -- 
" Q.DM1.007 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""FermiParams""></a> Fermi model parameters ", -- ," *[F, a, b]* ", Vector of ordered inputs to the Fermi model (M.DM1.007). , [variable units] , -- 
" Q.DM1.008 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""NormalParams""></a> Normal distribution model parameters ", -- ," *[$\mu$, $\sigma$]* ", Vector of ordered inputs to normal distribution model (M.DM1.008). , [variable units] , -- 
 Q.DM1.999 ," <a id=""not listed DM1""></a> Quantity not listed ", -- , -- ," This is a custom free-text item, which can be used if a quantity of interest is not listed. Please state a literature reference and request the item to be added to the lexicon for future usage. ", [variable] , -- 
